IDProducto;NombreProducto;PrecioPorUnidadProducto
1;Smartphone;407,63
2;Tablet;506,75
3;Smartphone;630,00
4;Laptop;604,94
5;Laptop;30,14
6;Auriculares;882,25
7;Auriculares;623,31
8;Auriculares;190,13
9;Tablet;35,97
10;Smartwatch;122,74
11;Laptop;883,60
12;Smartwatch;998,78
13;Cámara;465,05
14;Smartwatch;749,81
15;Laptop;353,22
16;Smartwatch;461,07
17;Smartwatch;930,23
18;Tablet;822,67
19;Smartphone;529,27
20;Cámara;628,13
21;Cámara;948,90
22;Cámara;572,63
23;Tablet;97,35
24;Smartphone;931,18
25;Laptop;220,04
26;Smartwatch;794,27
27;Cámara;894,18
28;Smartwatch;798,95
29;Cámara;196,16
30;Laptop;899,72
31;Cámara;290,06
32;Smartphone;691,77
33;Laptop;476,62
34;Auriculares;69,57
35;Smartwatch;95,68
36;Tablet;297,72
37;Auriculares;588,41
38;Cámara;305,14
39;Smartphone;871,44
40;Tablet;824,49
41;Laptop;379,99
42;Smartwatch;614,15
43;Smartwatch;623,88
44;Smartphone;595,92
45;Tablet;822,04
46;Laptop;692,74
47;Tablet;838,83
48;Laptop;203,36
49;Smartphone;775,30
50;Smartwatch;566,96
51;Smartwatch;854,46
52;Laptop;514,97
53;Laptop;994,19
54;Smartwatch;289,29
55;Auriculares;250,37
56;Cámara;963,62
57;Smartphone;527,88
58;Smartphone;21,48
59;Smartphone;320,40
60;Auriculares;123,63
61;Cámara;107,68
62;Smartphone;693,15
63;Cámara;460,95
64;Tablet;376,37
65;Tablet;515,00
66;Tablet;440,44
67;Laptop;452,50
68;Smartphone;561,46
69;Laptop;854,81
70;Tablet;778,11
71;Tablet;727,04
72;Smartphone;78,53
73;Tablet;769,55
74;Laptop;277,67
75;Smartwatch;927,15
76;Smartwatch;520,35
77;Auriculares;603,03
78;Tablet;480,19
79;Laptop;304,47
80;Smartphone;102,48
81;Laptop;847,60
82;Tablet;302,83
83;Smartwatch;504,06
84;Tablet;783,12
85;Smartphone;142,91
86;Tablet;448,41
87;Cámara;132,61
88;Laptop;535,69
89;Laptop;897,12
90;Laptop;816,72
91;Auriculares;398,26
92;Cámara;862,43
93;Tablet;19,97
94;Smartwatch;789,35
95;Smartphone;708,87
96;Cámara;21,16
97;Smartwatch;159,79
98;Auriculares;387,66
99;Laptop;578,14
100;Smartwatch;455,78
