ProductID;ProductName;ProductUnitPrice
1;Laptop;475,48
2;Auriculares;884,56
3;Laptop;365,10
4;Laptop;544,58
5;Cámara;567,11
6;Smartwatch;873,54
7;Tablet;212,45
8;Cámara;335,67
9;Smartwatch;497,57
10;Tablet;706,69
11;Smartwatch;871,48
12;Laptop;467,42
13;Smartwatch;569,44
14;Cámara;521,39
15;Smartwatch;459,72
16;Smartphone;226,12
17;Cámara;969,99
18;Laptop;209,47
19;Auriculares;262,76
20;Laptop;737,59
21;Cámara;678,81
22;Smartwatch;929,20
23;Laptop;250,33
24;Smartphone;724,21
25;Smartwatch;779,12
26;Auriculares;980,57
27;Tablet;70,50
28;Tablet;124,69
29;Laptop;232,95
30;Cámara;452,29
31;Laptop;786,44
32;Cámara;107,56
33;Smartwatch;872,09
34;Smartwatch;825,63
35;Cámara;901,25
36;Smartphone;480,31
37;Smartphone;962,08
38;Cámara;124,42
39;Smartphone;919,29
40;Tablet;512,54
41;Auriculares;313,82
42;Tablet;170,87
43;Tablet;478,87
44;Laptop;149,31
45;Cámara;766,46
46;Laptop;343,16
47;Laptop;877,78
48;Tablet;365,21
49;Tablet;372,52
50;Laptop;549,56
51;Smartphone;134,07
52;Tablet;310,99
53;Smartwatch;541,91
54;Cámara;487,63
55;Auriculares;437,57
56;Auriculares;248,61
57;Tablet;498,75
58;Auriculares;960,22
59;Auriculares;209,60
60;Smartwatch;503,33
61;Smartphone;86,15
62;Laptop;818,28
63;Laptop;96,28
64;Auriculares;958,08
65;Smartwatch;178,42
66;Cámara;685,16
67;Laptop;555,93
68;Laptop;368,19
69;Smartwatch;231,73
70;Cámara;687,66
71;Auriculares;259,66
72;Laptop;829,11
73;Auriculares;728,41
74;Cámara;994,11
75;Laptop;300,69
76;Tablet;192,13
77;Tablet;133,66
78;Smartwatch;921,51
79;Smartphone;888,24
80;Smartwatch;621,18
81;Smartwatch;466,66
82;Cámara;649,15
83;Cámara;484,95
84;Tablet;127,80
85;Tablet;880,75
86;Laptop;719,53
87;Auriculares;826,32
88;Smartphone;289,28
89;Tablet;275,64
90;Smartwatch;283,83
91;Smartwatch;510,88
92;Laptop;433,46
93;Smartwatch;300,12
94;Smartwatch;866,26
95;Smartphone;943,46
96;Smartphone;89,91
97;Smartphone;238,63
98;Cámara;241,55
99;Tablet;77,96
100;Auriculares;683,62
